pubmed_id,pmcid,OAK MEADOW
16556312,PMC1444932,MILE STONE MEADOW
16640458,PMC1450020,SALTHILL ROAD
16597331,PMC1456961,ROSEMOUNT AVENUE
16626488,PMC1459179,VICTORIA COURT
16584558,PMC1459189,DUDDON AVENUE
16683867,PMC1459482,WINDSOR ROAD
16672072,PMC1468415,BRAMLEY AVENUE
16738134,PMC1474053,WENNING COURT
16786054,PMC1475929,SWALEDALE
16709242,PMC1481559,SPENDMORE LANE
16686949,PMC1481583,DERBY ROAD
16729896,PMC1481635,HIGHLAND BROW
16579862,PMC1483818,VICARAGE GARDENS
16796401,PMC1483912,BLACKGATE LANE
16643647,PMC1484482,PALL MALL
16719922,PMC1488829,BROUGHTON GROVE
16603071,PMC1502134,PARK ROAD
16674820,PMC1513225,KINGSLEY STREET
16579851,PMC1513606,AINTREE DRIVE
16848617,PMC1518680,CROFT STREET
16737534,PMC1522022,ST JOHNS AVENUE
16643672,PMC1523220,RIVERSIDE
16863395,PMC1523295,MARINA GROVE
16737539,PMC1524727,FAIRHOPE AVENUE
16772029,PMC1525181,WHALLEY ROAD
16507143,PMC1526600,WEST END
16881729,PMC1526768,DORSET AVENUE
16834785,PMC1533820,ST PAULS ROAD
16827942,PMC1533821,CEDAR AVENUE
16772042,PMC1534038,CHISLEHURST AVENUE
16686946,PMC1538585,KIELDER GARDENS
16845046,PMC1538817,BIRKDALE AVENUE
16796731,PMC1538998,RANDWELL CLOSE
16870722,PMC1540717,NORWICH ROAD
16824203,PMC1550407,PARADE ROAD
16834781,PMC1550408,ELMCROFT ROAD
12857670,PMC1550560,WYNTERTON CLOSE
15111274,PMC1550585,NORWICH ROAD
16236698,PMC1550678,ROY AVENUE
16356209,PMC1550819,KINGFISHER CRESCENT
16356204,PMC1550829,MANOR CLOSE
16469134,PMC1550845,FERNHILL CLOSE
16606434,PMC1550877,FREEHOLD ROAD
16611370,PMC1550925,FELIXSTOWE ROAD
16732901,PMC1550926,GREENE ROAD
16817943,PMC1550947,DEREHAM AVENUE
16948530,PMC1557587,RUSHMERE ROAD
16889656,PMC1559606,CHURCHILL CLOSE
16917514,PMC1559673,HOLBROOK CLOSE
16893454,PMC1559680,CAULDWELL HALL ROAD
17057365,PMC1559924,BYRON ROAD
17057369,PMC1559929,QUEENS COURT
16899110,PMC1560143,THE WHEELWRIGHTS
16907978,PMC1562405,GOWERS END
16907980,PMC1562421,GOWERS END
16904002,PMC1563466,SELWYN CLOSE
16911805,PMC1564015,SIRDAR ROAD
16914034,PMC1564025,ANN STREET
16968120,PMC1564166,CUMBERLAND STREET
16968121,PMC1564167,WELLESLEY ROAD
16968115,PMC1564183,WRAGG DRIVE
16948846,PMC1564392,PIPERS CLOSE
16966082,PMC1570072,LAVENHAM ROAD
17002511,PMC1576335,ASHCROFT ROAD
16987422,PMC1592083,FLATFORD CLOSE
17033698,PMC1592461,PAGEANT PLACE
15319316,PMC1592527,MERCERS LANE
15780007,PMC1592688,HAYCOP RISE
17014728,PMC1594563,HIGHNAM CRESCENT
17026763,PMC1609112,HIGHNAM CRESCENT
17020602,PMC1609170,PARK STREET
16920740,PMC1616946,THE CROFT
16920738,PMC1616953,SHREWSBURY ROAD
16935887,PMC1616970,THE CROFT
17024178,PMC1618104,BLANDFORD WAY
17016458,PMC1618366,JARVIS DRIVE
17038191,PMC1618411,THE CROFT
17038194,PMC1618830,MURRELL WAY
17026751,PMC1618839,MURRELL WAY
16984658,PMC1618842,WISEMAN CRESCENT
16261930,PMC1624813,MURRELL WAY
17049088,PMC1624840,MURRELL WAY
16971454,PMC1635287,MURRELL WAY
16651886,PMC1635791,JUNIPER ROAD
17076905,PMC1636068,THE CROFT
17012284,PMC1636417,JARVIS DRIVE
17000638,PMC1636451,BRAMBLE LANE
17012271,PMC1636460,BRAMBLE LANEAQ
17012270,PMC1636472,THE FURLONGS
17094812,PMC1660542,THE FURLONGS
17142235,PMC1669763,THE FURLONGS
17121680,PMC1676004,TETCHILL BROOK ROAD
17156457,PMC1712227,DODINGTON
17156487,PMC1712335,JUNIPER ROAD
17194199,PMC1716185,CASTLE HILL
17022805,PMC1751045,TRINITY WAY
17135201,PMC1751549,BURGE MEADOW
17183647,PMC1762333,VICTORIA ROAD
17183670,PMC1762347,NOBLE STREET
17183651,PMC1762349,POPES LANE
17183638,PMC1762362,ST JOSEPHS FIELD
17205139,PMC1762437,CHESTNUT DRIVE
17166291,PMC1764026,CANADA COOMBE
17206278,PMC1764036,RECTORY ROAD
17254296,PMC1764468,STREAMCROSS
17192198,PMC1764890,HENSLEY ROAD
17204146,PMC1766361,BIRNBECK ROAD
17222058,PMC1769406,LULWORTH ROAD
17227133,PMC1769412,LONGRIDGE WAY
17194306,PMC1774570,STUART ROAD
17238286,PMC1779296,CAPPARDS ROAD
17253901,PMC1779818,WOODACRE
17158166,PMC1781101,WEIRFIELD ROAD
15203548,PMC1781541,WINTERFIELD ROAD
16476049,PMC1782239,WORLE MOOR ROAD
16630025,PMC1782262,BIRCH ROAD
12603595,PMC1782895,BEACH ROAD
12807475,PMC1782984,WATERSMEET CLOSE
11412306,PMC1783226,BEACH ROADU
17244370,PMC1783863,PENNYS PIECE
17299582,PMC1791715,ROSEVEAN CLOSE
17109749,PMC1794587,THE OLD SCHOOL CLOSE
17266760,PMC1796861,MACFARLANE CHASE
17254338,PMC1796898,TRESCOTHICK CLOSE
17305426,PMC1797619,WORLE MOOR ROAD
17288598,PMC1802086,BIRCH GROVE
17158156,PMC1802563,MIDDLE STREET
17204484,PMC1807961,NEW BUILDINGS
12519398,PMC1808612,LABURNUM DRIVE
15008980,PMC1808981,SOUTH ROAD
15030507,PMC1808995,CROMWELL ROAD
15030519,PMC1808997,SEYMOUR ROAD
15196242,PMC1809074,LAKEFIELDS
15196254,PMC1809083,CHILKWELL STREET
15196237,PMC1809084,BRITTEN ROAD
15606620,PMC1809271,SWIFT HOLLOW
16045740,PMC1809466,PORTSVIEW GARDENS
17326843,PMC1810241,NEW COTTAGES
17324273,PMC1810517,STOKE ROAD
15663079,PMC1820993,DOVER CLOSE
15535084,PMC1821001,BATH LANE
17351853,PMC1824729,HARTSWOOD
17343744,PMC1828050,HIGH LAWN WAY
17406673,PMC1831494,ADAMS WAY
14650548,PMC1831551,ELMSLEIGH GARDENS
15074627,PMC1831560,WHEATEAR DRIVE
17324258,PMC1831764,PINEGROVE ROAD
17355639,PMC1832202,HUNTS POND ROAD
17359548,PMC1839080,PENNY HEDGE
17352827,PMC1839082,SALCOMBE CLOSE
17359545,PMC1845150,KEMPSHOTT LANE
17376227,PMC1847427,BLACKTHORN ROAD
17069638,PMC1847501,HIGHGATE ROAD
17371589,PMC1847518,WESTFIELD ROAD
17440617,PMC1847702,GREENFIELD RISE
17386116,PMC1851004,WHINFIELD ROAD
17397531,PMC1852297,SEA GROVE AVENUE
17411439,PMC1852797,CORIANDER DRIVE
17359539,PMC1853084,MAYFLOWER CLOSE
17502915,PMC1855431,HILL PARK ROAD
16953805,PMC1859983,WESTOVER ROAD
17480120,PMC1864993,BRAHMS ROAD
17520018,PMC1868897,AVENUE ROAD
17287288,PMC1874606,BERESFORD ROAD
17364173,PMC1876255,CALMORE CRESCENT
17534439,PMC1876795,STANLEY AVENUE
17551582,PMC1876810,ETHELRED GARDENS
17535099,PMC1877972,WELLAND GARDENS
17477867,PMC1878474,CUSDEN DRIVE
17456233,PMC1878480,LINDEN LEA
17535101,PMC1880850,MANOR FARM CLOSE
17535110,PMC1880862,MORNINGTON ROAD
17490473,PMC1884140,WOODSTOCK CLOSE
17484782,PMC1884148,BEECH HILL ROAD
17466070,PMC1884151,MANOR ROAD
17565384,PMC1888730,PEMERTON ROAD
17547753,PMC1892008,BISHOPSFIELD ROAD
17555580,PMC1892777,WARNFORD CLOSE
17535426,PMC1894789,NORMANTON ROAD
17535440,PMC1894965,HATCH MEAD
17593895,PMC1896205,CLOCKHOUSE ROAD
17540042,PMC1899505,FRENSHAM CLOSE
17553144,PMC1904179,LOWER FARNHAM ROAD
17559689,PMC1913542,WHITEBEAM CLOSE
17557078,PMC1914094,FAIRVIEW TERRACE
17567912,PMC1919360,CYPRUS ROAD
17653289,PMC1919423,SEA ROAD
17545195,PMC1919510,COWFOLD LANE
17653272,PMC1920550,MITCHELL AVENUE
17597519,PMC1925091,REGENT STREET
17531104,PMC1929155,BEDFORD CLOSE
17488842,PMC1933182,EXMOUTH ROAD
17478505,PMC1933184,CORONATION ROAD
17634112,PMC1934907,OSTERLEY CLOSE
17576684,PMC1934988,HOLCROFT ROAD
17629919,PMC1939851,HIGHFIELD AVENUE
17650342,PMC1939990,NELSON ROAD
17710244,PMC1940056,PARK CLOSE
17696607,PMC1941747,PARK ROAD
17696609,PMC1941749,OXEY CLOSE
17696647,PMC1945040,WESTGROVE GARDENS
17712406,PMC1950082,THE AVENUE
17598900,PMC1950496,THE PLANTATION
17722980,PMC1950948,FINCHES GREEN
16704840,PMC1952212,RUSSELL ROAD
17878952,PMC1975466,AVRO COURT
17878940,PMC1975678,CAMPBELL FIELDS
17651481,PMC1976117,FLEMING AVENUE
17670797,PMC1976451,SOUTH EAST ROAD
17895966,PMC1976596,ST CONTEST WAY
16511208,PMC1978130,PAGES LANE
17549046,PMC1978280,VICTORIA ROAD
17912345,PMC1989136,KING GEORGES AVENUE
17259215,PMC1994780,WHARF HILL
17545992,PMC2002527,CRESWELL
17704133,PMC2018615,THE TOLLGATE
17704138,PMC2018635,WEST END ROAD
17957264,PMC2034598,CHURCH ROAD
17697389,PMC2040158,HEATH ROAD SOUTH
17697331,PMC2072959,CARPATHIA DRIVE
18031197,PMC2080649,WILTON ROAD
18052607,PMC2100141,PALMERSTON ROAD
18060089,PMC2100376,SIDLAW CLOSE
17953756,PMC2104530,GLEN EYRE ROAD
17945019,PMC2110893,LIME AVENUE
17923501,PMC2118498,HIGH STREET
16651386,PMC2121216,CROOKHAM ROAD
18046571,PMC2137947,ALDERMOOR ROAD
17937789,PMC2146995,ORCHARD DEAN
17927824,PMC2148055,WINTERTHUR WAY
18260686,PMC2151085,LANGSTAFF WAY
17254319,PMC2151856,WIDGEONS
18006572,PMC2175352,SIRDAR ROAD
18227906,PMC2176148,BEECH WAY
18198939,PMC2194748,BAMBER CLOSE
16511328,PMC2197201,JUBILEE GARDENS
11455891,PMC2202333,MALLSIDE CLOSE
17919318,PMC2203979,FRENCHWOOD AVENUE
17999757,PMC2204002,SWALLOW CLOSE
17996047,PMC2204037,LETCHWORTH PLACE
18231581,PMC2204050,HIGHER REEDLEY ROAD
18231585,PMC2204055,GRENFELL GARDENS
17419881,PMC2206439,THE GLADE
17362525,PMC2206456,CHAPEL STREET
17490495,PMC2206465,MAXY HOUSE ROAD
17764585,PMC2206501,MARSH DRIVE
17567736,PMC2206701,QUERNMORE AVENUE
17766393,PMC2206980,COMMERCIAL STREET
15545357,PMC2211913,HAMBLEDON MILL PARK
15710651,PMC2213046,BLINDMANS LANE
16043521,PMC2213088,ST MATTHEW STREET
15781575,PMC2213096,WENTWOOD CRESCENT
18053162,PMC2216015,CARR HEYES DRIVE
16582497,PMC2222557,LIVERPOOL ROAD SOUTH
16582498,PMC2222560,KELLET ROAD
18286178,PMC2229842,BOLTON ROAD
18269689,PMC2230613,COURTFIELD AVENUE
18072968,PMC2231387,WYCOLLAR CLOSE
18271619,PMC2235898,BISPHAM AVENUE
17982173,PMC2238845,LABURNUM ROAD
17913743,PMC2238867,WARWICK DRIVE
17984082,PMC2239001,BROSTER GROVE
16322573,PMC2242369,CHURCH ROAD
16600962,PMC2242481,CROWTHER STREET
16820698,PMC2242940,DERBY STREET
18179690,PMC2244602,KIRKSTONE AVENUE
18211710,PMC2245908,RIVERSIDE CRESCENT
18186934,PMC2248597,CRABTREE ROAD
18079152,PMC2248741,WALNUT AVENUE
17984074,PMC2248755,WALNUT AVENUE
18201388,PMC2249581,WHARFEDALE AVENUE
18234086,PMC2253533,STATION ROAD
18320019,PMC2254527,FAIRFAX PLACE
18179705,PMC2254600,KNOWSLEY ROAD WEST
18234083,PMC2258284,FALLOW CLOSE
18315850,PMC2259420,KENILWORTH GARDENS
18315855,PMC2259424,STRAWBERRY GARDENS
18218114,PMC2263041,ARDEN DRIVE
18350167,PMC2263130,HARTWOOD GREEN
17116172,PMC2265861,ASHWORTH ROAD
17680799,PMC2266036,CLEMENT STREET
18215329,PMC2266731,LEATHERLAND DRIVE
18350141,PMC2266793,WYRE BANK
18369467,PMC2267009,THIRLMERE ROAD
18197965,PMC2267159,BIRCH TREE WAY
18059306,PMC2267247,PRIMULA CRESCENT
19003009,PMC2267503,LLAMA CLOSE
18382652,PMC2268738,WHINFIELD AVENUE
18366252,PMC2270306,BACUP ROAD
17162377,PMC2270750,EAST STREET
18269761,PMC2270820,WAKES CLOSE
18251995,PMC2270836,COUNT ALAN ROAD
18368145,PMC2274893,CHALKPIT LANE
18302744,PMC2275240,BEAUFORT AVENUE
12739787,PMC2276095,HOLDEN DRIVE
12885151,PMC2276106,ALFORD ROAD
18267012,PMC2276200,STATION ROAD
18421380,PMC2277462,MASTERTON ROAD
16046624,PMC2279309,OAK ROAD
18282283,PMC2288602,THE GLEBE
18414668,PMC2288676,CAPTAINS BECK
18414602,PMC2290999,SIDNEY STREET
18289372,PMC2291031,THE SQUARE
18312678,PMC2291466,SEGGIMOOR
18437216,PMC2291564,HENSHAW AVENUE
18307785,PMC2292190,MILL LANE
18371201,PMC2315644,TATTERSHALL BRIDGE ROAD
18451981,PMC2322833,BISHOPS ROAD
18366693,PMC2322988,CAMPBELL STREET
10233719,PMC2326758,SEAGATE TERRACE
11106932,PMC2327086,WHEATFIELDS
18437241,PMC2329853,SOUTHFIELDS
17183167,PMC2330114,CAPTAINS BECK
18366721,PMC2335115,WIGNALS GATE
17671377,PMC2335157,LUPIN ROAD
16685268,PMC2361307,THE WENTWORTHS
18384691,PMC2362111,TEESDALE ROAD
11437410,PMC2363919,OVERTON CLOSE
18478070,PMC2364642,BATH ROAD
18461182,PMC2364646,FORUM WAY
18478118,PMC2366072,BACK STREET
18478121,PMC2367437,OAK TREE MEADOW
17868443,PMC2375028,CHAPEL LANE
18516228,PMC2376094,MARK AVENUE
16569729,PMC2377020,MABLETHORPE PARK
18373700,PMC2384092,WINDMILL VIEW
18509464,PMC2386233,SYCAMORE DRIVE
18402711,PMC2386448,FERROUS WAY
18424514,PMC2386736,ROMAN BANK
18055417,PMC2386895,ST CATHERINES ROAD
18509538,PMC2386973,FERROUS WAY
18423000,PMC2387173,OTHO WAY
18535660,PMC2390764,GEORGE STREET
18405357,PMC2394529,FOSTER STREET
18385160,PMC2396418,CROWTREE COTTAGES
18346971,PMC2396423,CROFTON COURT
18604262,PMC2396482,PENN HILL PARK
18497748,PMC2396876,MARINE DRIVE
18479515,PMC2397413,MANOR VIEW
18545680,PMC2398778,GLYNSMEAD
18551169,PMC2398782,KINGSWAY
18482458,PMC2408589,KINGSWAY
18495043,PMC2413216,PRESTON ROAD
18518971,PMC2423372,BIGNAL RAND DRIVE
18560560,PMC2423471,BIGNAL RAND DRIVE
18519001,PMC2426676,SOUTH STREET
18034821,PMC2434381,BIDDISCOMBE CLOSE
17891146,PMC2435248,GILLARDS CLOSE
18253729,PMC2435592,LEIGHTON ROAD
18612413,PMC2440516,SOUTH ROAD
18612429,PMC2440799,SOUTH ROAD
18612434,PMC2440807,BIGNAL RAND DRIVE
18523839,PMC2441536,TOWNSEND ROAD
18628832,PMC2441860,PRINTERS MEWS
18573204,PMC2443125,GIFFORDS ORCHARD
18613747,PMC2443186,PRIORY
18554408,PMC2443801,WEDMORE CLOSE
18541033,PMC2443812,CHAFFCOMBE ROAD
18629345,PMC2453318,BOVET STREET
18480090,PMC2461042,BOVET STREET
18648661,PMC2464710,WILKINS ROAD
18505720,PMC2475551,CHARLES STREET
18648550,PMC2481298,WEST HILL
18460218,PMC2481447,WHARF ROAD
18598380,PMC2481470,FAIRFORD GARDENS
18670648,PMC2483250,CASTLE ROAD
18620581,PMC2483279,ST MARYS ROAD
18670650,PMC2483296,KINGSTON AVENUE
18620595,PMC2483710,DEWLANDS
18682853,PMC2483940,WOODMAN ROAD
18698358,PMC2491585,THORNHILL ROAD
18495788,PMC2493070,FELBRIDGE CLOSE
18540051,PMC2496847,THE WAY
17075702,PMC2504633,TORMEAD ROAD
18637173,PMC2515104,ORCHARD ROAD
18725937,PMC2515348,RAILWAY SIDE
18474520,PMC2516372,BREWERY LANE
18467654,PMC2516908,ST MARGARETS AVENUE
18596815,PMC2517140,ASHDENE CRESCENT
18441347,PMC2518065,BUCKLAND WAY
18769494,PMC2519141,MEREBANK LANE
18575461,PMC2522268,BADSHOT LEA ROAD
18776932,PMC2522280,WINDSOR STREET
18671866,PMC2526065,STATION ROAD
18787698,PMC2526176,FREELANDS ROAD
18710500,PMC2527504,HAZEL WAY
18784843,PMC2527531,CROHAM VALLEY ROAD
18667084,PMC2527556,BURDON LANE
18763298,PMC2528880,MULLINS PATH
18830453,PMC2529389,NEWBURY GARDENS
18700011,PMC2531098,STOKE ROAD
18765908,PMC2531276,RYDES CLOSE
16547717,PMC2532088,WESTHALL ROAD
18717989,PMC2532688,KNOWSLEY STREET
18818738,PMC2533695,ROCHESTER ROAD
18798692,PMC2535663,VALE AVENUE
18771595,PMC2535778,ROYD AVENUE
18542898,PMC2535907,DUKE STREET
18552872,PMC2538697,MOORCROFT DRIVE
18764933,PMC2543005,BUTTERCROSS CLOSE
18684328,PMC2543006,ACACIA ROAD
18671869,PMC2546392,GILBERTHORPE STREET
18793412,PMC2553098,ROCKINGHAM ROAD
18827877,PMC2553179,RENEY AVENUE
18846208,PMC2553261,SELBY ROAD
18783594,PMC2553803,DUDLEY ROAD
18793441,PMC2556339,SHIREHALL CRESCENT
18923707,PMC2561066,ASQUITH ROAD
18949029,PMC2563037,SANDHILL GROVE
18846262,PMC2564797,FERNLEIGH DRIVE
18941622,PMC2565067,HELMSLEY AVENUE
18817537,PMC2566554,PRINCESS STREET
18710881,PMC2566873,HAXBY STREET
18820303,PMC2566878,AINSDALE ROAD
18801176,PMC2567993,CHIPPINGHOUSE ROAD
18958172,PMC2569416,MARSH LANE
18822184,PMC2569924,DONCASTER ROAD
18325268,PMC2570804,AITKEN ROAD
18325263,PMC2570813,JEFFERY CRESCENT
18325284,PMC2570815,FLORENCE AVENUE
18325255,PMC2570824,ELSTREE DRIVE
18325254,PMC2570843,WAINWRIGHT CRESCENT
18325256,PMC2570846,BROOKLANDS
18394274,PMC2570903,NEWMAN ROAD
18400147,PMC2570906,KENNINGTON GROVE
18831770,PMC2571100,CRUMMOCK WAY
18989460,PMC2572002,HADEN STREET
18830223,PMC2572123,DEEPWELL AVENUE
18989459,PMC2572141,CHESTNUT DRIVE
18989457,PMC2572142,MONKTON WAY
18959488,PMC2573941,CROOKESBROOM AVENUE
18925940,PMC2575341,FULWOOD ROAD
18638362,PMC2575555,LOCKWOOD AVENUE
18638361,PMC2575557,BROAD INGE CRESCENT
18671826,PMC2575602,CHURCH STREET
19008951,PMC2576454,BROADWAY
18940009,PMC2577087,CHILTERN CRESCENT
18842127,PMC2577657,CHANTRY STREET
18947382,PMC2577677,CHILTERN CRESCENT
18927583,PMC2581850,ARCHERY LANE
18836192,PMC2582601,CHILTERN CRESCENT
18794177,PMC2582611,GOLDEN CRESCENT
18796528,PMC2582615,CHILTERN CRESCENT
19043556,PMC2582959,CHANTRY STREET
19030226,PMC2583042,BRIDGE STREET
18937850,PMC2583970,CHILTERN CRESCENT
18950519,PMC2584050,STATION DRIVE
17485536,PMC2584236,CHILTERN CRESCENT
17301785,PMC2584968,CHILTERN CRESCENT
18990205,PMC2585571,PEMBROKE ROAD
19079577,PMC2587711,STATION DRIVE
19079579,PMC2587915,WICKHAM ROAD
19014538,PMC2588555,ROWE RISE
18947414,PMC2588578,BAROONA CLOSE
19050769,PMC2592701,WICKHAM ROAD
18950526,PMC2592769,TITCHFIELD ROAD
18611220,PMC2597651,CHILTERN CRESCENT
18760025,PMC2599917,ROWAN GARDENS
18258071,PMC2600137,WICKHAM ROAD
18258091,PMC2600140,MUNDAY WAY
18258072,PMC2600151,WOBURN CLOSE
18258086,PMC2600156,WESTCOTT STREET
